WavelengthBeforeRxn,AbsorbanceBeforeRxn,WavelengthAfterRxn,AbsorbanceAfterRxn,WavelengthAfterPurification,AbsorbanceAfterPurification
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,3x Purification,3x Purification
405.0412,0.4738,405.0412,0.3876,405.0412,0.2649
405.2512,0.4704,405.2512,0.3872,405.2512,0.268
405.4612,0.4699,405.4612,0.3865,405.4612,0.2662
405.6712,0.4695,405.6712,0.3875,405.6712,0.2679
405.8813,0.4714,405.8813,0.3879,405.8813,0.2686
406.0912,0.4718,406.0912,0.3887,406.0912,0.2685
406.3012,0.4731,406.3012,0.3859,406.3012,0.2674
406.5112,0.4739,406.5112,0.3893,406.5112,0.2669
406.7212,0.4705,406.7212,0.39,406.7212,0.2653
406.9311,0.472,406.9311,0.3887,406.9311,0.2647
407.1411,0.4711,407.1411,0.3882,407.1411,0.2653
407.351,0.4737,407.351,0.3875,407.351,0.2666
407.5609,0.471,407.5609,0.386,407.5609,0.2668
407.7708,0.4714,407.7708,0.3869,407.7708,0.2667
407.9807,0.4699,407.9807,0.3853,407.9807,0.2686
408.1906,0.4718,408.1906,0.3855,408.1906,0.268
408.4005,0.4703,408.4005,0.3864,408.4005,0.2641
408.6104,0.4736,408.6104,0.3878,408.6104,0.2672
408.8202,0.4707,408.8202,0.3865,408.8202,0.2673
409.0301,0.4734,409.0301,0.3863,409.0301,0.2655
409.2399,0.4717,409.2399,0.386,409.2399,0.2661
409.4497,0.4718,409.4497,0.3859,409.4497,0.2658
409.6596,0.473,409.6596,0.3841,409.6596,0.2627
409.8694,0.4684,409.8694,0.3849,409.8694,0.2626
410.0791,0.4702,410.0791,0.3849,410.0791,0.2658
410.2889,0.4684,410.2889,0.3851,410.2889,0.2642
410.4987,0.4702,410.4987,0.3848,410.4987,0.2633
410.7085,0.4687,410.7085,0.3857,410.7085,0.2654
410.9182,0.4697,410.9182,0.3832,410.9182,0.2652
411.128,0.4691,411.128,0.3828,411.128,0.265
411.3377,0.4676,411.3377,0.3833,411.3377,0.2643
411.5474,0.4681,411.5474,0.3844,411.5474,0.2644
411.7571,0.4665,411.7571,0.3824,411.7571,0.2644
411.9668,0.4675,411.9668,0.3823,411.9668,0.2646
412.1765,0.4676,412.1765,0.3818,412.1765,0.2648
412.3862,0.469,412.3862,0.3828,412.3862,0.2623
412.5958,0.4683,412.5958,0.3811,412.5958,0.2608
412.8055,0.4679,412.8055,0.3819,412.8055,0.2625
413.0151,0.4678,413.0151,0.3812,413.0151,0.2623
413.2248,0.4674,413.2248,0.3818,413.2248,0.2626
413.4344,0.4642,413.4344,0.383,413.4344,0.2616
413.644,0.466,413.644,0.384,413.644,0.262
413.8536,0.4661,413.8536,0.3802,413.8536,0.2629
414.0632,0.4631,414.0632,0.3812,414.0632,0.2613
414.2728,0.465,414.2728,0.3815,414.2728,0.2617
414.4823,0.4653,414.4823,0.3809,414.4823,0.2608
414.6919,0.4645,414.6919,0.3801,414.6919,0.2617
414.9015,0.4623,414.9015,0.3815,414.9015,0.2597
415.111,0.4658,415.111,0.3804,415.111,0.261
415.3205,0.4637,415.3205,0.3806,415.3205,0.2621
415.53,0.4642,415.53,0.3788,415.53,0.2608
415.7395,0.4633,415.7395,0.3796,415.7395,0.2595
415.949,0.4612,415.949,0.3798,415.949,0.2621
416.1585,0.462,416.1585,0.3786,416.1585,0.2606
416.368,0.4649,416.368,0.3776,416.368,0.2596
416.5775,0.4639,416.5775,0.3788,416.5775,0.2599
416.7869,0.4633,416.7869,0.3784,416.7869,0.2593
416.9963,0.4623,416.9963,0.3772,416.9963,0.2602
417.2058,0.4605,417.2058,0.3779,417.2058,0.26
417.4152,0.4617,417.4152,0.378,417.4152,0.2594
417.6246,0.4634,417.6246,0.3771,417.6246,0.2575
417.834,0.4615,417.834,0.3752,417.834,0.2587
418.0434,0.4611,418.0434,0.377,418.0434,0.2588
418.2528,0.4582,418.2528,0.3755,418.2528,0.2589
418.4621,0.4607,418.4621,0.3752,418.4621,0.2584
418.6715,0.457,418.6715,0.3749,418.6715,0.2577
418.8808,0.4589,418.8808,0.3738,418.8808,0.2572
419.0902,0.4581,419.0902,0.3773,419.0902,0.2578
419.2995,0.4582,419.2995,0.3752,419.2995,0.2585
419.5088,0.4586,419.5088,0.3745,419.5088,0.2585
419.7181,0.4577,419.7181,0.375,419.7181,0.2562
419.9274,0.4581,419.9274,0.3756,419.9274,0.2571
420.1367,0.4576,420.1367,0.3746,420.1367,0.2559
420.3459,0.457,420.3459,0.3733,420.3459,0.2583
420.5552,0.4577,420.5552,0.3736,420.5552,0.2565
420.7644,0.4567,420.7644,0.3736,420.7644,0.2571
420.9737,0.4549,420.9737,0.3741,420.9737,0.2571
421.1829,0.456,421.1829,0.3725,421.1829,0.2563
421.3921,0.456,421.3921,0.3732,421.3921,0.256
421.6013,0.4552,421.6013,0.3735,421.6013,0.2573
421.8105,0.4557,421.8105,0.3715,421.8105,0.2545
422.0197,0.4535,422.0197,0.3722,422.0197,0.256
422.2289,0.4547,422.2289,0.3713,422.2289,0.2552
422.438,0.4553,422.438,0.3704,422.438,0.2554
422.6472,0.4534,422.6472,0.3723,422.6472,0.2538
422.8563,0.4545,422.8563,0.3704,422.8563,0.2541
423.0654,0.4524,423.0654,0.37,423.0654,0.2533
423.2745,0.4535,423.2745,0.3691,423.2745,0.2541
423.4837,0.4526,423.4837,0.3708,423.4837,0.2539
423.6927,0.4524,423.6927,0.3714,423.6927,0.2541
423.9018,0.4526,423.9018,0.3689,423.9018,0.2522
424.1109,0.4519,424.1109,0.3678,424.1109,0.2542
424.32,0.4517,424.32,0.3695,424.32,0.2538
424.529,0.4508,424.529,0.3681,424.529,0.2528
424.7381,0.4503,424.7381,0.3688,424.7381,0.2513
424.9471,0.4501,424.9471,0.3676,424.9471,0.2539
425.1561,0.4506,425.1561,0.3672,425.1561,0.2516
425.3651,0.4506,425.3651,0.3685,425.3651,0.2522
425.5741,0.4485,425.5741,0.3672,425.5741,0.2503
425.7831,0.4504,425.7831,0.3671,425.7831,0.2522
425.9921,0.4492,425.9921,0.3663,425.9921,0.2526
426.201,0.4488,426.201,0.3666,426.201,0.2514
426.41,0.4463,426.41,0.3662,426.41,0.252
426.6189,0.4471,426.6189,0.3656,426.6189,0.2515
426.8279,0.4477,426.8279,0.3659,426.8279,0.2506
427.0368,0.4464,427.0368,0.3644,427.0368,0.25
427.2457,0.4459,427.2457,0.364,427.2457,0.2498
427.4546,0.447,427.4546,0.3644,427.4546,0.2505
427.6635,0.4473,427.6635,0.365,427.6635,0.2497
427.8724,0.4457,427.8724,0.3646,427.8724,0.2504
428.0812,0.4449,428.0812,0.3639,428.0812,0.2505
428.2901,0.4453,428.2901,0.3636,428.2901,0.2501
428.4989,0.4436,428.4989,0.3643,428.4989,0.2502
428.7078,0.4436,428.7078,0.3617,428.7078,0.2506
428.9166,0.4444,428.9166,0.3635,428.9166,0.2484
429.1254,0.4434,429.1254,0.3632,429.1254,0.2497
429.3342,0.4423,429.3342,0.364,429.3342,0.2491
429.543,0.4443,429.543,0.361,429.543,0.2481
429.7518,0.4426,429.7518,0.3621,429.7518,0.2481
429.9606,0.4419,429.9606,0.3619,429.9606,0.2481
430.1693,0.4418,430.1693,0.3627,430.1693,0.2478
430.3781,0.4421,430.3781,0.363,430.3781,0.2487
430.5868,0.4407,430.5868,0.3613,430.5868,0.2475
430.7955,0.4423,430.7955,0.3613,430.7955,0.247
431.0042,0.4401,431.0042,0.3606,431.0042,0.2467
431.2129,0.4419,431.2129,0.36,431.2129,0.247
431.4216,0.4397,431.4216,0.3606,431.4216,0.247
431.6303,0.44,431.6303,0.3598,431.6303,0.2467
431.839,0.4383,431.839,0.3594,431.839,0.2471
432.0476,0.4394,432.0476,0.3597,432.0476,0.2479
432.2563,0.4385,432.2563,0.3597,432.2563,0.2476
432.4649,0.4405,432.4649,0.3604,432.4649,0.2468
432.6736,0.4399,432.6736,0.3588,432.6736,0.247
432.8822,0.4403,432.8822,0.3589,432.8822,0.2468
433.0908,0.4382,433.0908,0.3586,433.0908,0.2458
433.2994,0.4367,433.2994,0.3584,433.2994,0.2455
433.508,0.4377,433.508,0.3584,433.508,0.2447
433.7165,0.4369,433.7165,0.3586,433.7165,0.2452
433.9251,0.4359,433.9251,0.3588,433.9251,0.2443
434.1336,0.438,434.1336,0.3591,434.1336,0.2453
434.3422,0.437,434.3422,0.3579,434.3422,0.2454
434.5507,0.4371,434.5507,0.3582,434.5507,0.2454
434.7592,0.4364,434.7592,0.3574,434.7592,0.2441
434.9677,0.4363,434.9677,0.3571,434.9677,0.2451
435.1762,0.4348,435.1762,0.3574,435.1762,0.2446
435.3847,0.4361,435.3847,0.3583,435.3847,0.2455
435.5932,0.4346,435.5932,0.3553,435.5932,0.243
435.8017,0.4346,435.8017,0.3566,435.8017,0.2449
436.0101,0.4358,436.0101,0.3566,436.0101,0.2446
436.2185,0.4357,436.2185,0.3557,436.2185,0.2446
436.427,0.4345,436.427,0.3553,436.427,0.2438
436.6354,0.4348,436.6354,0.356,436.6354,0.2443
436.8438,0.4329,436.8438,0.3552,436.8438,0.2436
437.0522,0.4338,437.0522,0.3551,437.0522,0.2438
437.2606,0.4342,437.2606,0.3548,437.2606,0.2429
437.469,0.4342,437.469,0.3539,437.469,0.2434
437.6773,0.4342,437.6773,0.3546,437.6773,0.2433
437.8857,0.4344,437.8857,0.3543,437.8857,0.2432
438.094,0.4332,438.094,0.3543,438.094,0.2428
438.3024,0.4343,438.3024,0.3547,438.3024,0.2432
438.5107,0.4331,438.5107,0.3529,438.5107,0.2424
438.719,0.4338,438.719,0.3527,438.719,0.2428
438.9273,0.4324,438.9273,0.354,438.9273,0.2419
439.1356,0.431,439.1356,0.3532,439.1356,0.2419
439.3438,0.4314,439.3438,0.3531,439.3438,0.2412
439.5521,0.4318,439.5521,0.353,439.5521,0.2417
439.7604,0.4313,439.7604,0.3524,439.7604,0.2418
439.9686,0.4307,439.9686,0.3521,439.9686,0.2422
440.1768,0.4332,440.1768,0.3523,440.1768,0.2416
440.3851,0.4325,440.3851,0.3518,440.3851,0.2417
440.5933,0.4307,440.5933,0.3513,440.5933,0.2404
440.8015,0.4335,440.8015,0.35,440.8015,0.2416
441.0097,0.4301,441.0097,0.3511,441.0097,0.2414
441.2178,0.4302,441.2178,0.3511,441.2178,0.2415
441.426,0.4309,441.426,0.3517,441.426,0.2408
441.6341,0.4295,441.6341,0.3512,441.6341,0.2407
441.8423,0.4292,441.8423,0.3508,441.8423,0.2418
442.0504,0.4296,442.0504,0.352,442.0504,0.2412
442.2585,0.4292,442.2585,0.3503,442.2585,0.241
442.4667,0.4292,442.4667,0.35,442.4667,0.2405
442.6748,0.4314,442.6748,0.3494,442.6748,0.2412
442.8828,0.4285,442.8828,0.3495,442.8828,0.2403
443.0909,0.4273,443.0909,0.3497,443.0909,0.2404
443.299,0.4279,443.299,0.3491,443.299,0.2405
