Wavelenth,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Overcoating,Before Overcoating,After Overcoating,After Overcoating,5x Purification,5x Purification
387.5712,0.1597,387.5712,0.2302,387.5712,0.0771
387.7822,0.1647,387.7822,0.2309,387.7822,0.0708
387.9931,0.1679,387.9931,0.236,387.9931,0.069
388.2039,0.1729,388.2039,0.237,388.2039,0.0695
388.4148,0.1741,388.4148,0.2268,388.4148,0.0725
388.6257,0.1669,388.6257,0.2333,388.6257,0.0727
388.8365,0.167,388.8365,0.2427,388.8365,0.0716
389.0474,0.1672,389.0474,0.2374,389.0474,0.0737
389.2582,0.1674,389.2582,0.2388,389.2582,0.0639
389.4691,0.1702,389.4691,0.2318,389.4691,0.0759
389.6799,0.1668,389.6799,0.2304,389.6799,0.0757
389.8907,0.1631,389.8907,0.2349,389.8907,0.0689
390.1015,0.167,390.1015,0.2289,390.1015,0.079
390.3123,0.165,390.3123,0.2367,390.3123,0.0734
390.523,0.161,390.523,0.2326,390.523,0.0727
390.7338,0.1615,390.7338,0.2303,390.7338,0.0726
390.9446,0.1624,390.9446,0.2327,390.9446,0.0741
391.1553,0.1622,391.1553,0.2329,391.1553,0.0702
391.366,0.166,391.366,0.2278,391.366,0.0731
391.5768,0.1723,391.5768,0.2348,391.5768,0.0723
391.7875,0.1587,391.7875,0.2326,391.7875,0.0735
391.9982,0.1621,391.9982,0.2275,391.9982,0.0734
392.2089,0.1624,392.2089,0.2328,392.2089,0.0718
392.4195,0.1617,392.4195,0.2361,392.4195,0.0768
392.6302,0.1625,392.6302,0.2335,392.6302,0.07
392.8409,0.1644,392.8409,0.2345,392.8409,0.0733
393.0515,0.1703,393.0515,0.236,393.0515,0.0741
393.2622,0.1645,393.2622,0.2367,393.2622,0.074
393.4728,0.1652,393.4728,0.2343,393.4728,0.0759
393.6834,0.1629,393.6834,0.2292,393.6834,0.0726
393.894,0.1653,393.894,0.2334,393.894,0.0696
394.1046,0.1666,394.1046,0.2355,394.1046,0.0741
394.3152,0.1622,394.3152,0.2296,394.3152,0.0729
394.5258,0.1685,394.5258,0.2376,394.5258,0.0742
