Wavelength,Absorbance,Wavelength,Absorabnce,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Pur,4x Pur
389.0474,0.3985,389.0474,0.3766,389.0474,0.2261
389.2582,0.4087,389.2582,0.3901,389.2582,0.2298
389.4691,0.4085,389.4691,0.3786,389.4691,0.2288
389.6799,0.4066,389.6799,0.3817,389.6799,0.22
389.8907,0.4101,389.8907,0.3734,389.8907,0.2219
390.1015,0.4103,390.1015,0.3764,390.1015,0.2234
390.3123,0.4118,390.3123,0.3742,390.3123,0.2288
390.523,0.414,390.523,0.3824,390.523,0.2259
390.7338,0.4146,390.7338,0.3782,390.7338,0.2251
390.9446,0.4106,390.9446,0.3818,390.9446,0.2278
391.1553,0.4089,391.1553,0.3833,391.1553,0.2254
391.366,0.4073,391.366,0.381,391.366,0.224
391.5768,0.4042,391.5768,0.3852,391.5768,0.2272
391.7875,0.4079,391.7875,0.3804,391.7875,0.2237
391.9982,0.4131,391.9982,0.3768,391.9982,0.2295
392.2089,0.411,392.2089,0.373,392.2089,0.2224
392.4195,0.4099,392.4195,0.3791,392.4195,0.2267
392.6302,0.4138,392.6302,0.3843,392.6302,0.2225
392.8409,0.4138,392.8409,0.3888,392.8409,0.2248
393.0515,0.4123,393.0515,0.3863,393.0515,0.2263
393.2622,0.4198,393.2622,0.3765,393.2622,0.2242
393.4728,0.4146,393.4728,0.3772,393.4728,0.2254
393.6834,0.4166,393.6834,0.3835,393.6834,0.2248
393.894,0.4118,393.894,0.3769,393.894,0.2227
394.1046,0.4142,394.1046,0.3819,394.1046,0.2213
394.3152,0.4106,394.3152,0.3853,394.3152,0.218
394.5258,0.4152,394.5258,0.379,394.5258,0.2287
394.7363,0.4135,394.7363,0.382,394.7363,0.2273
394.9469,0.4168,394.9469,0.381,394.9469,0.2213
395.1574,0.4083,395.1574,0.3816,395.1574,0.2257
395.368,0.421,395.368,0.3795,395.368,0.2225
395.5785,0.4185,395.5785,0.3778,395.5785,0.2257
395.789,0.4195,395.789,0.389,395.789,0.226
395.9995,0.4228,395.9995,0.3814,395.9995,0.2273
396.21,0.4212,396.21,0.3784,396.21,0.222
396.4205,0.4181,396.4205,0.381,396.4205,0.2251
396.631,0.4126,396.631,0.3796,396.631,0.2256
396.8414,0.419,396.8414,0.3797,396.8414,0.2215
397.0519,0.4157,397.0519,0.3825,397.0519,0.2244
397.2623,0.4191,397.2623,0.3778,397.2623,0.2271
397.4727,0.419,397.4727,0.38,397.4727,0.2239
397.6832,0.4172,397.6832,0.3868,397.6832,0.2256
397.8936,0.4138,397.8936,0.3824,397.8936,0.2207
398.104,0.4154,398.104,0.3832,398.104,0.2212
398.3143,0.4123,398.3143,0.3817,398.3143,0.222
398.5247,0.4149,398.5247,0.3785,398.5247,0.2229
398.7351,0.4171,398.7351,0.3866,398.7351,0.2155
398.9454,0.4143,398.9454,0.3854,398.9454,0.2202
399.1558,0.4184,399.1558,0.3812,399.1558,0.225
399.3661,0.417,399.3661,0.3813,399.3661,0.2213
399.5764,0.413,399.5764,0.3791,399.5764,0.2248
399.7868,0.4157,399.7868,0.3771,399.7868,0.2224
399.9971,0.42,399.9971,0.3822,399.9971,0.2267
400.2074,0.4158,400.2074,0.3796,400.2074,0.2238
400.4176,0.4191,400.4176,0.3796,400.4176,0.2243
400.6279,0.4186,400.6279,0.3797,400.6279,0.2202
400.8382,0.4171,400.8382,0.3796,400.8382,0.2215
401.0484,0.4204,401.0484,0.379,401.0484,0.2223
401.2587,0.417,401.2587,0.3791,401.2587,0.2234
401.4689,0.4196,401.4689,0.3795,401.4689,0.2232
401.6791,0.4185,401.6791,0.377,401.6791,0.2217
401.8893,0.4163,401.8893,0.3783,401.8893,0.2227
402.0995,0.4207,402.0995,0.3772,402.0995,0.2205
402.3097,0.4201,402.3097,0.3814,402.3097,0.2243
402.5199,0.4193,402.5199,0.3785,402.5199,0.222
402.73,0.4187,402.73,0.3787,402.73,0.2213
402.9402,0.417,402.9402,0.3793,402.9402,0.2242
403.1503,0.4199,403.1503,0.3786,403.1503,0.2206
403.3605,0.4196,403.3605,0.3759,403.3605,0.2235
403.5706,0.4218,403.5706,0.3785,403.5706,0.2213
403.7807,0.4197,403.7807,0.3789,403.7807,0.2228
403.9908,0.4237,403.9908,0.3784,403.9908,0.2236
404.2009,0.4201,404.2009,0.3798,404.2009,0.2244
404.411,0.4203,404.411,0.3782,404.411,0.2237
404.6211,0.4201,404.6211,0.3774,404.6211,0.2236
404.8311,0.4197,404.8311,0.3788,404.8311,0.2231
405.0412,0.417,405.0412,0.3747,405.0412,0.2224
405.2512,0.4176,405.2512,0.3788,405.2512,0.2198
405.4612,0.4195,405.4612,0.3739,405.4612,0.2221
