Wavelength,Absorabnce,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
386.3056,0.3643,386.3056,0.3993,386.3056,0.2166
386.5165,0.3499,386.5165,0.407,386.5165,0.2086
386.7275,0.3705,386.7275,0.3951,386.7275,0.2194
386.9384,0.3558,386.9384,0.4071,386.9384,0.2186
387.1494,0.3591,387.1494,0.4129,387.1494,0.2253
387.3603,0.355,387.3603,0.4048,387.3603,0.2182
387.5712,0.3769,387.5712,0.4201,387.5712,0.2193
387.7822,0.3718,387.7822,0.395,387.7822,0.2254
387.9931,0.3721,387.9931,0.398,387.9931,0.2141
388.2039,0.3544,388.2039,0.4056,388.2039,0.2195
388.4148,0.3517,388.4148,0.4109,388.4148,0.2313
388.6257,0.3643,388.6257,0.4022,388.6257,0.2257
388.8365,0.3546,388.8365,0.4083,388.8365,0.2253
389.0474,0.3658,389.0474,0.409,389.0474,0.2247
389.2582,0.3704,389.2582,0.4094,389.2582,0.216
389.4691,0.3628,389.4691,0.4055,389.4691,0.216
389.6799,0.3736,389.6799,0.4029,389.6799,0.2194
389.8907,0.3653,389.8907,0.407,389.8907,0.219
390.1015,0.3618,390.1015,0.4017,390.1015,0.2218
390.3123,0.3738,390.3123,0.4007,390.3123,0.2207
390.523,0.3677,390.523,0.3997,390.523,0.2143
390.7338,0.3682,390.7338,0.4064,390.7338,0.2194
390.9446,0.3662,390.9446,0.403,390.9446,0.224
391.1553,0.3618,391.1553,0.4009,391.1553,0.2274
391.366,0.3638,391.366,0.4067,391.366,0.2334
391.5768,0.3617,391.5768,0.4009,391.5768,0.219
391.7875,0.3674,391.7875,0.4119,391.7875,0.2282
391.9982,0.3753,391.9982,0.4101,391.9982,0.22
392.2089,0.3737,392.2089,0.4109,392.2089,0.2175
392.4195,0.3696,392.4195,0.4042,392.4195,0.2249
392.6302,0.3583,392.6302,0.406,392.6302,0.2244
392.8409,0.3698,392.8409,0.402,392.8409,0.2228
393.0515,0.3634,393.0515,0.4034,393.0515,0.2236
393.2622,0.3643,393.2622,0.4095,393.2622,0.2284
393.4728,0.3713,393.4728,0.4059,393.4728,0.2186
393.6834,0.3604,393.6834,0.4025,393.6834,0.2204
393.894,0.3721,393.894,0.4081,393.894,0.2182
394.1046,0.3717,394.1046,0.4052,394.1046,0.2215
394.3152,0.3651,394.3152,0.4067,394.3152,0.2265
394.5258,0.3734,394.5258,0.4039,394.5258,0.2219
394.7363,0.3697,394.7363,0.4078,394.7363,0.222
394.9469,0.3743,394.9469,0.4108,394.9469,0.221
395.1574,0.3624,395.1574,0.407,395.1574,0.2221
395.368,0.3704,395.368,0.4048,395.368,0.2234
395.5785,0.3701,395.5785,0.4089,395.5785,0.2196
395.789,0.3647,395.789,0.4105,395.789,0.221
395.9995,0.366,395.9995,0.4123,395.9995,0.2249
396.21,0.3681,396.21,0.4064,396.21,0.2225
396.4205,0.3686,396.4205,0.4044,396.4205,0.2213
396.631,0.3642,396.631,0.4059,396.631,0.2258
396.8414,0.3673,396.8414,0.4093,396.8414,0.2219
397.0519,0.3722,397.0519,0.4142,397.0519,0.2204
397.2623,0.3774,397.2623,0.4012,397.2623,0.2256
397.4727,0.3715,397.4727,0.4056,397.4727,0.2186
397.6832,0.3672,397.6832,0.4131,397.6832,0.225
397.8936,0.37,397.8936,0.4065,397.8936,0.2262
398.104,0.3718,398.104,0.4096,398.104,0.2252
398.3143,0.3683,398.3143,0.4043,398.3143,0.2231
398.5247,0.3714,398.5247,0.4054,398.5247,0.2176
398.7351,0.3711,398.7351,0.4056,398.7351,0.221
398.9454,0.3765,398.9454,0.4057,398.9454,0.2247
399.1558,0.3649,399.1558,0.406,399.1558,0.2216
399.3661,0.3666,399.3661,0.4001,399.3661,0.2254
399.5764,0.3705,399.5764,0.4053,399.5764,0.2245
399.7868,0.3728,399.7868,0.4059,399.7868,0.2227
399.9971,0.3756,399.9971,0.4047,399.9971,0.2244
400.2074,0.3736,400.2074,0.4043,400.2074,0.2238
400.4176,0.3706,400.4176,0.4027,400.4176,0.2224
400.6279,0.368,400.6279,0.4074,400.6279,0.2225
400.8382,0.371,400.8382,0.404,400.8382,0.2236
401.0484,0.3699,401.0484,0.4024,401.0484,0.2232
401.2587,0.3694,401.2587,0.4041,401.2587,0.2241
401.4689,0.3721,401.4689,0.4057,401.4689,0.2259
401.6791,0.3724,401.6791,0.403,401.6791,0.2224
401.8893,0.3711,401.8893,0.4119,401.8893,0.225
402.0995,0.3725,402.0995,0.4083,402.0995,0.2238
402.3097,0.371,402.3097,0.4047,402.3097,0.2207
402.5199,0.3683,402.5199,0.4048,402.5199,0.2259
402.73,0.3713,402.73,0.4052,402.73,0.2238
402.9402,0.3706,402.9402,0.406,402.9402,0.2238
403.1503,0.3718,403.1503,0.4076,403.1503,0.2256
403.3605,0.3703,403.3605,0.4068,403.3605,0.2222
403.5706,0.3714,403.5706,0.404,403.5706,0.2254
403.7807,0.3732,403.7807,0.4045,403.7807,0.2238
403.9908,0.373,403.9908,0.4041,403.9908,0.2238
404.2009,0.3733,404.2009,0.4079,404.2009,0.2286
404.411,0.3695,404.411,0.4072,404.411,0.2254
404.6211,0.3725,404.6211,0.4055,404.6211,0.224
404.8311,0.3729,404.8311,0.4063,404.8311,0.2249
405.0412,0.3711,405.0412,0.4065,405.0412,0.2231
405.2512,0.3696,405.2512,0.4071,405.2512,0.2218
405.4612,0.372,405.4612,0.4068,405.4612,0.2241
405.6712,0.3724,405.6712,0.405,405.6712,0.2217
405.8813,0.3704,405.8813,0.4059,405.8813,0.2217
406.0912,0.3709,406.0912,0.4059,406.0912,0.2231
406.3012,0.3717,406.3012,0.4039,406.3012,0.2257
406.5112,0.3716,406.5112,0.4051,406.5112,0.223
406.7212,0.3691,406.7212,0.4052,406.7212,0.2254
406.9311,0.3686,406.9311,0.4038,406.9311,0.2224
407.1411,0.37,407.1411,0.4036,407.1411,0.2238
407.351,0.3669,407.351,0.4038,407.351,0.2256
407.5609,0.372,407.5609,0.4042,407.5609,0.2233
407.7708,0.3687,407.7708,0.4025,407.7708,0.2236
407.9807,0.3671,407.9807,0.4021,407.9807,0.2257
408.1906,0.3691,408.1906,0.4034,408.1906,0.221
408.4005,0.3684,408.4005,0.4006,408.4005,0.2218
408.6104,0.3676,408.6104,0.4026,408.6104,0.2221
408.8202,0.3681,408.8202,0.4014,408.8202,0.2236
409.0301,0.3685,409.0301,0.402,409.0301,0.2211
409.2399,0.3703,409.2399,0.4016,409.2399,0.2207
